"res_1_min","res_2_min","res_3_min","res_4_min","res_5_min","res_6_min","res_7_min","res_8_min","res_9_min","res_10_min","upper_weber_stor_min","upper_ogden_stor_min","lower_stor_min","total_res_min","current_res_min","moderate_max","severe_max","extreme_max","SA1_max","SA2_max","SA3_max","SA4_max","SA5_max","SA6_max","SA7_max","SA8_max","SA9_max","SA10_max","SA11_max","SA12_max","SA13_max","SA14_max","SA15_max","SA16_max","SA17_max","SA18_max","SA19_max","SA20_max","upper_weber_short_max","upper_ogden_short_max","lower_short_max","system_max","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_11","k_12","k_13","k_14","k_15","k_16","k_17","k_18"
1554.069544,44152.99708,25308.9125,13235.21938,34932.83957,3766.813992,54477.80434,132580.5016,Inf,Inf,119184.038074,58244.618332,132580.5016,310009.158006,310009.158006,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,1,1,1,1,1,1,10,10,12,12,12,15,15,15,15
8341.881804,60849.60258,73940,20955.38771,47753.75234,3264.785626,16527.43163,204088.9783,Inf,Inf,211840.624434,19792.217256,204088.9783,435721.81999,435721.81999,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4706.500573,48617.16215,20790.28029,18748.36645,26466.87435,1000,9.999998897,183453.9724,Inf,Inf,119572.190854,1009.999998897,183453.9724,312951.01512905,312951.01512905,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2639.531539,222.8735733,1870.820871,0,0,0,0,0,-Inf,0,4510.35241,0,4510.35241000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8350,56513.45126,54035.237,20534.39667,35258.92792,3426.853527,2003.619795,188119.5953,Inf,Inf,174692.01285,5430.473322,188119.5953,368242.081472,368242.081472,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,-Inf,0,-Inf,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7939.037249,53105.92921,37452.89348,19457.77181,32416.74132,1000,9.999998897,178834.8268,Inf,Inf,150627.27751,1009.999998897,178834.8268,337537.99741605,337537.99741605,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2555.06647,109.9502133,4806,0,0,0,0,0,-Inf,0,7371.662678,0,7371.66267799999,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
2683.085999,45795.34993,7467.036799,18166.01917,11527.12254,1000,9.999998897,134267.7361,Inf,Inf,89259.342331,1009.999998897,134267.7361,233459.20307805,233459.20307805,0,0,0,-Inf,0,0,0,0,0,0,1425.8486082,0,0,0,4411.794527,2753.177491,4806,0,0,0,0,0,-Inf,1425.8486082,10525.612564,0,11165.8603772,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6652.949638,50445.80282,33593.16999,19141.74079,26220.17703,1000,9.999998897,174279.2199,Inf,Inf,140189.393599,1009.999998897,174279.2199,324238.426597897,324238.426597897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2509.126111,1503.534361,4806,0,0,0,0,0,-Inf,0,8818.660472,0,8818.660472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3462.604986,47883.45261,19356.99178,18083.305,24568.99606,1000,9.999998897,181004.8119,Inf,Inf,113617.633383,1009.999998897,181004.8119,295632.445281897,295632.445281897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4357.820124,0,0,0,0,0,0,0,-Inf,0,4357.820124,0,4357.82012400001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8350,56942.7822,54833.16224,20466.15222,35815.85707,3281.02666,4530.286964,200470.5953,Inf,Inf,176407.95373,7811.313624,200470.5953,384689.862654,384689.862654,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
751,45314.13548,9.999999926,15836.73764,22656.4082,1000,9.999998897,121649.4152,Inf,Inf,84568.281319926,1009.999998897,121649.4152,215413.93438105,215413.93438105,0,0,0,-Inf,1373.788869,0,0,0,0,0,0,0,0,0,4710.167804,3462.673942,4806,0,0,0,0,0,-Inf,1373.788869,11274.593654,0,11287.403713,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
