"","data","response","year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request"
"1","paleo","Base",1429,44190.33416554,52989.6,45432.6,8799.26583446,1242.26583446
"2","paleo","Base",1430,620040.973385,690783.8,622083.8,70742.826615,2042.826615
"3","paleo","Base",1431,619132.680446,690783.8,622083.8,71651.119554,2951.119554
"4","paleo","Base",1432,614404.9580763,690783.8,622083.8,76378.8419237,7678.8419237
"5","paleo","Base",1433,618307.6083648,690783.8,622083.8,72476.1916352,3776.19163520001
"6","paleo","Base",1434,613067.0522546,690783.8,622083.8,77716.7477454,9016.7477454
"7","paleo","Base",1435,613590.3837558,690783.8,622083.8,77193.4162442,8493.41624420001
"8","paleo","Base",1436,617362.7910396,690783.8,622083.8,73421.0089604,4721.00896039999
"9","paleo","Base",1437,608504.5869312,690783.8,622083.8,82279.2130688,13579.2130688
"10","paleo","Base",1438,609925.691275,690783.8,622083.8,80858.108725,12158.108725
"11","paleo","Base",1439,606016.0341491,690783.8,622083.8,84767.7658509,16067.7658509
"12","paleo","Base",1440,620691.451811,690783.8,622083.8,70092.348189,1392.348189
"13","paleo","Base",1441,621100.227038,690783.8,622083.8,69683.572962,983.572962000006
"14","paleo","Base",1442,618762.096677,690783.8,622083.8,72021.703323,3321.70332300001
"15","paleo","Base",1443,619711.303508,690783.8,622083.8,71072.496492,2372.49649200001
"16","paleo","Base",1444,617810.072747,690783.8,622083.8,72973.727253,4273.727253
"17","paleo","Base",1445,611101.6280544,690783.8,622083.8,79682.1719456,10982.1719456
"18","paleo","Base",1446,619187.997089,690783.8,622083.8,71595.802911,2895.80291099999
"19","paleo","Base",1447,618555.233967,690783.8,622083.8,72228.566033,3528.566033
"20","paleo","Base",1448,613888.888472,690783.8,622083.8,76894.911528,8194.91152800001
"21","paleo","Base",1449,618554.763794,690783.8,622083.8,72229.036206,3529.036206
"22","paleo","Base",1450,618586.89703562,690783.8,622083.8,72196.90296438,3496.90296438
"23","paleo","Base",1451,621291.485182,690783.8,622083.8,69492.314818,792.314817999999
"24","paleo","Base",1452,620704.119542,690783.8,622083.8,70079.680458,1379.680458
"25","paleo","Base",1453,620008.836388,690783.8,622083.8,70774.963612,2074.96361200001
"26","paleo","Base",1454,620149.055321,690783.8,622083.8,70634.744679,1934.744679
"27","paleo","Base",1455,619884.791315,690783.8,622083.8,70899.008685,2199.00868499999
"28","paleo","Base",1456,601672.9423083,690783.8,622083.8,89110.8576917,20410.8576917
"29","paleo","Base",1457,617931.5057344,690783.8,622083.8,72852.2942656,4152.2942656
"30","paleo","Base",1458,610820.4416612,690783.8,622083.8,79963.3583388,11263.3583388
"31","paleo","Base",1459,604493.0324367,690783.8,622083.8,86290.7675633,17590.7675633
"32","paleo","Base",1460,605738.7449767,690783.8,622083.8,85045.0550233,16345.0550233
"33","paleo","Base",1461,610374.58008028,690783.8,622083.8,80409.21991972,11709.21991972
"34","paleo","Base",1462,620209.48604,690783.8,622083.8,70574.31396,1874.31396
"35","paleo","Base",1463,621377.813102,690783.8,622083.8,69405.986898,705.986898000003
"36","paleo","Base",1464,618478.57747,690783.8,622083.8,72305.22253,3605.22253
"37","paleo","Base",1465,609424.9452733,690783.8,622083.8,81358.8547267,12658.8547267
"38","paleo","Base",1466,619558.015869,690783.8,622083.8,71225.784131,2525.78413100001
"39","paleo","Base",1467,619846.885759,690783.8,622083.8,70936.914241,2236.91424100001
"40","paleo","Base",1468,618320.344972,690783.8,622083.8,72463.455028,3763.455028
"41","paleo","Base",1469,619066.49318,690783.8,622083.8,71717.30682,3017.30682
