"","data","response","plot_year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request","demand_shortage"
"1","paleo","Base",1999,619646.640608,690783.8,622083.8,71137.159392,2437.159392,71137.1593920001
"2","paleo","Base",2000,609953.72259,696071.8,625997.8,86118.07741,16044.07741,86118.07741
"3","paleo","Base",2001,600938.1809572,690783.8,622083.8,89845.6190428,21145.6190428,89845.6190428
"4","paleo","Base",2002,597851.0757679,685495.8,618169.8,87644.7242321,20318.7242321,87644.7242321001
"5","paleo","Base",2003,562217.8086706,690783.8,622083.8,128565.9913294,59865.9913294,128565.9913294
"6","paleo","Base",2004,530015.8014535,696071.8,625997.8,166055.9985465,95981.9985465,166055.9985465
"7","paleo","Base",2005,564561.3058831,690783.8,622083.8,126222.4941169,57522.4941169,126222.4941169
"8","paleo","Base",2006,616640.003608,685495.8,618169.8,68855.796392,1529.796392,68855.796392
"9","paleo","Base",2007,621288.674326,690783.8,622083.8,69495.125674,795.125673999995,69495.125674
"10","base","Base",1999,620855.45,690783.8,622083.8,69928.35,1228.35000000001,69928.3500000001
"11","base","Base",2000,613608.123389,690783.8,622083.8,77175.676611,8475.67661099999,77175.6766110001
"12","base","Base",2001,599844.6788425,690783.8,622083.8,90939.1211575,22239.1211575,90939.1211575001
"13","base","Base",2002,605992.0827496,690783.8,622083.8,84791.7172504,16091.7172504,84791.7172504001
"14","base","Base",2003,602307.787253,690783.8,622083.8,88476.012747,19776.012747,88476.0127470001
"15","base","Base",2004,609106.8432313,690783.8,622083.8,81676.9567687,12976.9567687,81676.9567687
"16","base","Base",2005,619472.666173,690783.8,622083.8,71311.133827,2611.133827,71311.133827
"17","base","Base",2006,613050.959402,690783.8,622083.8,77732.840598,9032.84059800001,77732.8405980001
"18","base","Base",2007,605728.610122,690783.8,622083.8,85055.189878,16355.189878,85055.1898780001
