"","date","month","year","wy","plot_date","current_res","data","response","trigger_category"
"1",1998-06-01,"6",1998,1998,1998-06-01,528965.0506,"base","Base","None"
"2",1998-07-01,"7",1998,1998,1998-07-01,528966.4175,"base","Base","None"
"3",1998-08-01,"8",1998,1998,1998-08-01,513780.856097,"base","Base","None"
"4",1998-09-01,"9",1998,1998,1998-09-01,449893.072053,"base","Base","None"
"5",1998-10-01,"10",1998,1999,1998-10-01,412888.572668,"base","Base","None"
"6",1998-11-01,"11",1998,1999,1998-11-01,428912.440963,"base","Base","None"
"7",1998-12-01,"12",1998,1999,1998-12-01,456158.771633,"base","Base","None"
"8",1999-01-01,"1",1999,1999,1999-01-01,477490.65342,"base","Base","None"
"9",1999-02-01,"2",1999,1999,1999-02-01,484649.59884,"base","Base","None"
"10",1999-03-01,"3",1999,1999,1999-03-01,489892.59884,"base","Base","None"
"11",1999-04-01,"4",1999,1999,1999-04-01,506528.90688,"base","Base","None"
"12",1999-05-01,"5",1999,1999,1999-05-01,528963.9322,"base","Base","None"
"13",1999-06-01,"6",1999,1999,1999-06-01,528965.0506,"base","Base","None"
"14",1999-07-01,"7",1999,1999,1999-07-01,528966.4175,"base","Base","None"
"15",1999-08-01,"8",1999,1999,1999-08-01,458762.32943,"base","Base","None"
"16",1999-09-01,"9",1999,1999,1999-09-01,386041.169562,"base","Base","None"
"17",1999-10-01,"10",1999,2000,1999-10-01,336290.306955,"base","Base","None"
"18",1999-11-01,"11",1999,2000,1999-11-01,349323.73263,"base","Base","None"
"19",1999-12-01,"12",1999,2000,1999-12-01,366702.77422,"base","Base","None"
"20",2000-01-01,"1",2000,2000,2000-01-01,388605.05662,"base","Base","None"
"21",2000-02-01,"2",2000,2000,2000-02-01,413850.40552,"base","Base","None"
"22",2000-03-01,"3",2000,2000,2000-03-01,436684.004456,"base","Base","None"
"23",2000-04-01,"4",2000,2000,2000-04-01,453374.633946,"base","Base","None"
"24",2000-05-01,"5",2000,2000,2000-05-01,489510.74902,"base","Base","None"
"25",2000-06-01,"6",2000,2000,2000-06-01,498039.46653,"base","Base","None"
"26",2000-07-01,"7",2000,2000,2000-07-01,424732.504602,"base","Base","None"
"27",2000-08-01,"8",2000,2000,2000-08-01,317576.230009,"base","Base","None"
"28",2000-09-01,"9",2000,2000,2000-09-01,229411.19433008,"base","Base","None"
"29",2000-10-01,"10",2000,2001,2000-10-01,176612.926287258,"base","Base","None"
"30",2000-11-01,"11",2000,2001,2000-11-01,179775.6234457,"base","Base","None"
"31",2000-12-01,"12",2000,2001,2000-12-01,197088.9363467,"base","Base","None"
"32",2001-01-01,"1",2001,2001,2001-01-01,219835.7067497,"base","Base","None"
"33",2001-02-01,"2",2001,2001,2001-02-01,240978.1386017,"base","Base","None"
"34",2001-03-01,"3",2001,2001,2001-03-01,261713.0302927,"base","Base","None"
"35",2001-04-01,"4",2001,2001,2001-04-01,329050.7609697,"base","Base","None"
"36",2001-05-01,"5",2001,2001,2001-05-01,401695.89724,"base","Base","None"
"37",2001-06-01,"6",2001,2001,2001-06-01,442652.445163,"base","Base","None"
"38",2001-07-01,"7",2001,2001,2001-07-01,363057.783055,"base","Base","None"
"39",2001-08-01,"8",2001,2001,2001-08-01,244194.18546077,"base","Base","None"
"40",2001-09-01,"9",2001,2001,2001-09-01,146171.023153236,"base","Base","None"
