"","site","method","data","predictors","site_name","model_name","reg_eq","postproc","month","ME","MAE","RMSE","NSE","R","R.spear"
"1",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",1,-0.0153883725065439,0.268391744684133,0.332697854131469,0.00734191496780123,0.451640156749294,0.454166206505685
"1.1",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",2,-0.0292218551271895,0.247964681302448,0.306579980139918,0.0753863052981267,0.470748261762877,0.48329938017
"1.2",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",3,-0.0134553716367367,0.47922327942844,0.652598803698154,-0.0602899743472589,0.338289785784144,0.34383147764499
"1.3",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",4,0.205499759450269,2.19882830536919,2.76838854707143,-0.47634660339921,0.189919101698587,0.161344134413441
"1.4",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",5,0.651803147338813,5.19526523951925,6.85816483090324,-0.22153781577924,0.404043213322044,0.407788778877888
"1.5",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",6,-0.162200566065429,8.51121141028108,11.0778554528873,0.222603748367713,0.602650814311078,0.594779477947795
"1.6",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",7,-0.169371474390379,2.7386427183333,4.45738568448449,0.399014336890919,0.632532160377124,0.68020402040204
"1.7",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",8,0.0941727304126168,0.737420188354692,0.940502439653919,0.363652013063529,0.66560191263294,0.621338133813381
"1.8",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",9,0.0870394630011041,0.631334013769322,0.799051788952834,0.162307737243897,0.574323219665888,0.571222835954674
"1.9",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",10,-0.0402566979345572,0.724159350241297,0.933395278124482,-0.436559877405744,0.205440044603553,0.232437329739298
"1.10",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",11,-0.0377776286570794,0.493929310145704,0.612525934811042,-0.427116570572427,0.212101042254309,0.215479948918621
"1.11",10128500,"ap","rec",NA,"weber","10128500_ap_rec",NA,"",12,-0.0280604298150663,0.398032457733201,0.512373409767317,-0.539311996510006,0.170972150876334,0.22898214010592
"2",10128500,"apr","rec","flow_lag","weber","10128500_apr_rec_flow_lag","l(flow, seq(-1,1))","",1,-0.0135283793625444,0.198009517571155,0.252052085127376,0.427279935855445,0.656622099398337,0.670302605707474
"2.1",10128500,"apr","rec","flow_lag","weber","10128500_apr_rec_flow_lag","l(flow, seq(-1,1))","",2,-0.0130252076268337,0.196708570286724,0.249461380212824,0.377957100150002,0.617423209006239,0.617830166889257
