"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"(Intercept)",0.0962411540510245,0.162749859195253,0.0803193460049913,0.0263429632928963,0.00117950424440996,0.0459716575225288,0.0101718274319995,-0.044187091878651,0.0117807660265253,0.152310557621575,0.176792909060149,0.0866805469156834
"annual_norm.-1",0.580172204648497,0.441416128008727,0.199715317122887,0.0409254281411484,0,0,0,0,0,0.365754720667017,0.402814322920328,0.459903263969289
"annual_norm.0",0.0929074593853137,0.184366666098089,0.208608964363585,0.0625625725471346,0.408655367512604,0.569855122656529,0.658745577409022,0.644544248020383,0.491237947465382,0,0,0
"annual_norm.1",0,0,0,0.0497036391442131,0,0,0,-0.00177239838099951,0,0,0,-0.0195287479556235
"ENSO.-1",0,0,0,0.0392068629032624,0.1086663990979,0,0,0,0,0,0.0291561978940735,0.154651822731707
"ENSO.0",0,0,-0.0628263405915766,-0.058208876290612,0,0.127732862274397,0.113136333490165,0.0499659390913522,0,0,0,0
"ENSO.1",0,0,0.0168513272617483,0.0130186736635222,0.0534133688181544,0,0,-0.000312891817529519,0,0,0,-0.0608791164371569
"ENSO_short.-1",0,0,0,0.0296998538934426,0,0.0920437614385635,0.125089758161493,0.103151904059537,0.0636497124102893,0,0,-0.145208080452773
"ENSO_short.0",0,0,-0.0423812828151264,-0.0297865215414631,0,-0.233532725334192,-0.193693240372013,-0.116378005974455,-0.00549820157461482,0,0,-0.0463399959420852
"ENSO_short.1",0,0,0,-0.002616947641024,0,0,-0.0178001453021135,0,0,0,0,-0.0643728764843385
