"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"(Intercept)",0.0680967183548101,0.0989831709729247,0.0349358828512656,-0.0313010133233429,0.0390662820062334,0.106985955641018,0.0735634578435704,0.0526807937706343,0.0702365404188414,0.0969977339952062,0.114034533811125,0.079821422070711
"ENSO",0,0.0381924927517562,-0.0831800720562266,-0.12151162134714,0,0.124765617075802,0.121002199570866,0.101830407096012,0,0,-0.12711545448759,-0.0424961741383714
"ENSO_short",0,-0.0657960406278133,-0.0575125166522325,0,0.0147568550935538,-0.140417347889976,-0.136186679763483,-0.0903664825838951,-0.024312724562016,0.0036968832279505,-0.00209874840204638,-0.0806366862135623
"PC1",0.061969135529126,0.0544240476799617,0.0481163121141018,0.0616673031583381,0.0303998520501119,0.0481774460938556,0.0624345619069626,0.0661358874572874,0.055566242815549,0.032149305802317,0.0518027943556466,0.0308695706277783
"PC2",0,-0.00178458031132889,0.0157982402478396,-0.00771965774784529,0.0514696387812311,0.128277855550138,0.0957509243159313,0.0884510066538202,0.0810035314678139,0,0,-0.0249913759638372
"PC3",0.051046619065427,0.0727266933215409,0.0554667202710442,0,0.165531850317076,-0.0490630079058959,-0.0518156707935422,0,0.01069516235453,0.145738576531379,0.196828503671457,0.148753998571571
"PC4",0,-0.0372623421232873,-0.0170134526383709,0,0,0.0288054289086853,0.0555125547366653,0.0856818361219896,0.0604511864050577,-0.00996563193004602,-0.00682574263863918,-0.0566373059246917
"PC5",0,0.00261029076739183,0.0569258753574354,-0.000103149280415207,-0.0337725578554111,0.0578183772048005,0.0690546865861448,0.10199161033716,0.104251219180795,0,-0.0316650039142569,-0.0106606926045218
"PC6",0.12623773001977,0.122645420418205,0.0839386591182541,0,-0.0668336428937329,0.0267937704754965,-0.00199844751787063,0,0,0,0.00802754798012401,0.00824655736936901
"PC7",-0.211151208561387,-0.192203566682607,-0.12347329290805,0,-0.0992461091622523,-0.214542554357101,-0.142981495456426,-0.158398864173855,-0.0854525804607119,-0.105072322612797,-0.156122614149318,-0.154472609563218
"PC8",-0.0146661661317837,-0.0835775901937414,-0.114234371601105,-0.13239695650716,-0.00273941991796536,0.00863550426639841,0.0655072325345369,0.123784658418785,0.0943615692610253,-0.160366549370782,-0.142971329820304,-0.114648784692336
"PC9",0.0809272240097916,0.0821913806763536,0.104012490080696,0,0.180214884378708,0.116126789279768,0.00435865991102712,0.104767417587814,0.122533777890286,0.0894525723407162,0.16186059139734,0.144057863111843
"annual_norm.-1",0.3741897115972,0.253015646371812,0.105573373808474,0,0,-0.0389695803812203,-0.0369098770414499,0.00659088856493517,0.0341120279434503,0.303035776419898,0.474975218793353,0.335340999842503
"annual_norm.0",0,0.133365516391971,0.128963482891532,0,0.195479369645295,0.207033335718247,0.285203862622969,0.235271726963245,0.165797075725457,0,-0.17434542016436,-0.0503497349623678
"annual_norm.1",0,-0.0574148990996989,-0.000474917543053443,0,0.106285833691387,0.0389073545487925,0.0459946702972047,0.0399308129532894,0.120540043781689,0,-0.0456525496418596,-0.032343729336966
