"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"(Intercept)",0.0971356248206184,0.178782407074514,0.0833009003796951,-0.0179112925313781,0.0457831071932053,0.0984468937363559,0.0580359928631122,0.0521325163446822,0.0586962536726732,0.107098427374862,0.144236953246327,0.0369395933724932
"annual_norm.-1",0.328084570931749,0.158737585586312,0.0677440146298709,0.00552598961878584,0,0,0,0,0.0423158471203881,0.0583144972983538,0.107861931003379,0.156277672569049
"annual_norm.0",0,0.135290285806135,0.0888944475896782,0.0427150150850254,0.340010713269348,0.200959892001173,0.329577055733525,0.293673845458963,0.152250126769197,0,0,0
"annual_norm.1",0,-0.0478297709892276,0,0.0301239593624126,0,0,0,0,0.0820049363210628,0,0,-4.200046881183e-05
"ENSO.-1",0,-0.0442329840427001,0,0.0240821117922207,0.0546271331939853,0,0,0,0.00329562474247708,0,0,0.0349403995400773
"ENSO.0",0,0.0206797689325257,-0.0549679997284514,-0.0520322239460267,0,0,0,0,-0.0100507873827993,0,0,0
"ENSO.1",0,0.0139181872983416,0.00333127258806929,0.00477767461517352,0.0417639278368725,0,0,0,-0.0112664889139772,0,0,-0.0623870441325858
"ENSO_short.-1",0,0.0598554370676239,0,0.0285874312558598,0,0.0793952385161915,0.108720900483501,0.105600097084736,0.0687205598130526,0,0,-0.0782150814553286
"ENSO_short.0",0,-0.0504418057888274,-0.0265259264850779,-0.0251750698288023,0,-0.0796595581190125,-0.098836208627754,-0.0702425719020969,-0.0394056634005936,0,0,-0.0504069003473452
"ENSO_short.1",0,0.0401820336696021,0,-0.00162156260872846,0,0,-0.0421055407639163,-0.00696892463290329,-0.0015960639032774,-0.00954045846723231,-0.00960378443259225,-0.088996422154796
"PC1.-1",0,0.0250480365791098,0,0.00255455965450009,0,0,0,0.00425610251237814,0.01415193700388,0.0874454726286357,0.0740306285453555,0.0657436805591128
"PC1.0",0.0621386558822354,0.0367569361709585,0.0519262862538587,0.0178956096432616,0.0127864827282945,0.0480213503442717,0.0548821583857307,0.0500145977422127,0.0253352816900193,0,0,0.00208616979092404
"PC1.1",0,0.00696774387415612,0.000187118255992495,0.0126355512689081,0,0,0,0.00890894643451987,0.0243546471864694,0,0,0
"PC2.-1",0,0.0401688466753418,0.000858198278236234,0.00330153996629812,0,0,-0.0225560948863185,0,-0.0168934435542591,0,0,-0.0157809526615191
"PC2.0",0,-0.00234222088854039,0,-0.0290775998316161,0.00781142243927069,0.151934145830069,0.1286136418641,0.112440538765008,0.0781070849573611,0,0,0
"PC2.1",0,-0.0357741735772178,0,-0.0150986847572199,0,0,-0.0344270010125828,-0.0304947785097526,-0.0275943219794995,0,0,0
