"","month","year","t","norm_est","flow_est"
"1",1,1428,1,NA,NA
"2",2,1428,2,NA,NA
"3",3,1428,3,NA,NA
"4",4,1428,4,NA,NA
"5",5,1428,5,NA,NA
"6",6,1428,6,NA,NA
"7",7,1428,7,NA,NA
"8",8,1428,8,NA,NA
"9",9,1428,9,NA,NA
"10",10,1428,10,NA,NA
"11",11,1428,11,NA,NA
"12",12,1428,12,NA,NA
"13",1,1429,13,NA,NA
"14",2,1429,14,NA,NA
"15",3,1429,15,NA,NA
"16",4,1429,16,NA,NA
"17",5,1429,17,0.191283122490763,19.4168577829754
"18",6,1429,18,0.308482463148829,24.8503468836269
"19",7,1429,19,0.292206829835305,7.05883566333825
"20",8,1429,20,0.249779010066562,3.28711703913899
"21",9,1429,21,0.210467173025493,2.42883398494474
"22",10,1429,22,0.169690708422478,2.15251580204366
"23",11,1429,23,0.19612574950902,1.91542043301397
"24",12,1429,24,0.338898555344569,1.72795434232579
"25",1,1430,25,0.216547406671134,1.57094991709749
"26",2,1430,26,0.268496192077593,1.5784732747813
"27",3,1430,27,0.441937450988917,1.99278928589506
"28",4,1430,28,0.353003019208412,5.35315391804689
"29",5,1430,29,0.203712969190279,19.4967832033334
"30",6,1430,30,0.295500973535077,24.6811865228834
"31",7,1430,31,0.270838708902474,6.9749927372593
"32",8,1430,32,0.268176500879946,3.30814470067761
"33",9,1430,33,0.297801105730518,2.50552500296435
"34",10,1430,34,0.397056767579534,2.31668876100852
"35",11,1430,35,0.338697880412558,1.98234446087778
"36",12,1430,36,0.378635781261399,1.7436167986964
"37",1,1431,37,0.486716729476159,1.65395711905471
"38",2,1431,38,0.587323068455819,1.66712973618765
"39",3,1431,39,0.644732536832221,2.09748566457315
"40",4,1431,40,0.103432066198032,4.82492290014765
"41",5,1431,41,0.631582244282615,22.3827288943057
"42",6,1431,42,0.811171994986826,32.0027021482037
"43",7,1431,43,0.749488811773937,9.01587126658767
"44",8,1431,44,0.769926876443213,3.91643862394963
"45",9,1431,45,0.7590949274021,2.93724775930432
"46",10,1431,46,0.813478818773951,2.63841704957174
"47",11,1431,47,0.780986952022917,2.19976719051048
"48",12,1431,48,0.618058205167604,1.83997813867622
"49",1,1432,49,0.756263372272904,1.73961704706409
"50",2,1432,50,0.663186791829119,1.68869991484524
"51",3,1432,51,0.364292521633683,1.95363737209718
"52",4,1432,52,0.079044406666939,4.77525169620746
"53",5,1432,53,0.168242003079328,19.2692778114966
"54",6,1432,54,-0.551860198664063,15.2337819606841
"55",7,1432,55,-0.429240337009161,4.5836749718458
"56",8,1432,56,-0.307415355959233,2.69175981360941
"57",9,1432,57,-0.0147188935300381,2.23833764008049
"58",10,1432,58,0.0450850566113097,2.06591784122504
"59",11,1432,59,0.0632311626851608,1.85440824534067
"60",12,1432,60,-0.0257945056995483,1.58855605295412
"61",1,1433,61,0.0332047903954318,1.51622694665114
"62",2,1433,62,0.0141986154998362,1.51005024002449
"63",3,1433,63,-0.197122026933044,1.68566320939645
"64",4,1433,64,-0.0805635361746102,4.45859901624598
"65",5,1433,65,-0.195632649054705,17.0369704580654
"66",6,1433,66,0.155624627893561,22.9068044123481
"67",7,1433,67,0.17807243273418,6.6186827053542
"68",8,1433,68,0.111108158788279,3.1314743342073
"69",9,1433,69,0.101366690046121,2.33524367452781
"70",10,1433,70,-0.0709374765233623,1.98740637460793
"71",11,1433,71,-0.0985509060237063,1.78190109525307
"72",12,1433,72,-0.713058287911135,1.34671194181925
"73",1,1434,73,-0.0423334624037989,1.49405564498907
"74",2,1434,74,-0.00792576433795064,1.50419257036762
"75",3,1434,75,-0.0767724572487914,1.74089708680637
"76",4,1434,76,0.149484139571226,4.91965727282556
"77",5,1434,77,0.25000281893689,19.796356498043
"78",6,1434,78,-0.080430091038462,20.1095047456767
"79",7,1434,79,0.0136699423328993,6.01749260842677
"80",8,1434,80,0.0201932652174363,3.0321469695096
"81",9,1434,81,0.157974552206185,2.38349811973398
"82",10,1434,82,0.140175023016318,2.13178858667301
"83",11,1434,83,0.175438732373655,1.90583644626973
"84",12,1434,84,0.269583275572366,1.70085762779587
"85",1,1435,85,0.16027633743355,1.55401695029038
"86",2,1435,86,0.179295972905367,1.55424243067959
"87",3,1435,87,0.315737228956474,1.92941467679535
"88",4,1435,88,0.628434955424486,5.97903195498127
"89",5,1435,89,0.22806309302788,19.6539909989855
"90",6,1435,90,0.618429927579778,29.1198871971461
"91",7,1435,91,0.546206299709465,8.10703874672978
"92",8,1435,92,0.4342607842668,3.50202301157335
"93",9,1435,93,0.287933235999854,2.49678025088406
"94",10,1435,94,0.198918169577049,2.17317238993264
"95",11,1435,95,0.191578357410103,1.91331095096133
"96",12,1435,96,0.032467390050159,1.61030317372585
"97",1,1436,97,0.281077318898773,1.59051863674564
"98",2,1436,98,0.376691517571017,1.60819938031551
"99",3,1436,99,0.303999934743078,1.92358936622158
"100",4,1436,100,-0.733735996492585,3.31024447818967
"101",5,1436,101,0.516616398265299,21.5813564014929
"102",6,1436,102,0.465058200803381,26.95146876996
"103",7,1436,103,0.440358462161601,7.65857863762594
"104",8,1436,104,0.455713348334458,3.52760044454581
"105",9,1436,105,0.512909659109428,2.70122249577463
"106",10,1436,106,0.653127420303563,2.51126739673402
"107",11,1436,107,0.649861357428425,2.13374718241222
"108",12,1436,108,1.02536691438938,2.01185910660684
"109",1,1437,109,0.363381047507247,1.61571136797199
"110",2,1437,110,-0.018029999228588,1.50152241610056
"111",3,1437,111,-0.588633554019386,1.51414939976048
"112",4,1437,112,-0.75420466388629,3.27795830738151
"113",5,1437,113,-1.65158433049645,9.85200401454023
"114",6,1437,114,-1.61561882458916,7.36097211134468
"115",7,1437,115,-1.60586399713529,1.95111011790579
"116",8,1437,116,-1.69278263977255,1.53768850079144
"117",9,1437,117,-1.6113990841811,1.16869141522543
"118",10,1437,118,-1.62385181299086,1.12292124085233
"119",11,1437,119,-1.59901771527886,1.19830379765945
"120",12,1437,120,-1.30021230859623,1.16094158855777
"121",1,1438,121,-1.77017338952774,1.04463996454064
"122",2,1438,122,-1.92068894977284,1.05349940524719
"123",3,1438,123,-2.01806029286423,0.988881043811017
"124",4,1438,124,-1.34829413793652,2.4331698591337
"125",5,1438,125,-2.2688147593377,7.57652485963849
"126",6,1438,126,-1.71572498035729,6.81744357537693
