"","month","year","t","norm_est","flow_est"
"1",1,1428,1,NA,NA
"2",2,1428,2,NA,NA
"3",3,1428,3,NA,NA
"4",4,1428,4,NA,NA
"5",5,1428,5,NA,NA
"6",6,1428,6,NA,NA
"7",7,1428,7,NA,NA
"8",8,1428,8,NA,NA
"9",9,1428,9,NA,NA
"10",10,1428,10,NA,NA
"11",11,1428,11,NA,NA
"12",12,1428,12,NA,NA
"13",1,1429,13,NA,NA
"14",2,1429,14,NA,NA
"15",3,1429,15,NA,NA
"16",4,1429,16,NA,NA
"17",5,1429,17,0.0858607476558688,18.7477341349935
"18",6,1429,18,0.281899271627273,24.5047660161591
"19",7,1429,19,0.240034344802542,6.85529362583053
"20",8,1429,20,0.135657480737924,3.15866265089458
"21",9,1429,21,0.0893868761204543,2.3251159345318
"22",10,1429,22,0.206301613711272,2.178411443292
"23",11,1429,23,0.248966638147118,1.94004620692006
"24",12,1429,24,0.329752898095918,1.72436283497723
"25",1,1430,25,0.216757267813879,1.57101329669404
"26",2,1430,26,0.297113532692746,1.5862999259083
"27",3,1430,27,0.251011322060593,1.89743601380818
"28",4,1430,28,0.0864548531748456,4.79030849655496
"29",5,1430,29,0.0908591272964124,18.7791066044099
"30",6,1430,30,0.273301689086022,24.3936844330985
"31",7,1430,31,0.224257208502469,6.79452006525249
"32",8,1430,32,0.147825513666671,3.17219684750194
"33",9,1430,33,0.13230498593878,2.36153497638628
"34",10,1430,34,0.289600152738443,2.23810004432756
"35",11,1430,35,0.306126038246822,1.96692043758885
"36",12,1430,36,0.348977917786793,1.73191826079895
"37",1,1431,37,0.387641228571959,1.62318749173212
"38",2,1431,38,0.474545575642167,1.63540216326411
"39",3,1431,39,0.3203322124293,1.9316983870363
"40",4,1431,40,0.0462802746865448,4.70905959699966
"41",5,1431,41,0.262917007424477,19.8804752747387
"42",6,1431,42,0.614828301437681,29.0676997953976
"43",7,1431,43,0.577668158243198,8.24358469251696
"44",8,1431,44,0.479681371283048,3.55632254880404
"45",9,1431,45,0.358996470952795,2.56020915509816
"46",10,1431,46,0.442161835039633,2.3502133039647
"47",11,1431,47,0.483446653739397,2.05185855488404
"48",12,1431,48,0.464811388992553,1.77790560448334
"49",1,1432,49,0.558131339928505,1.67637410737889
"50",2,1432,50,0.516764900364044,1.64723241661655
"51",3,1432,51,0.224470167904229,1.88442547326176
"52",4,1432,52,0.0423544815196729,4.70116989823895
"53",5,1432,53,0.0765952864683284,18.6896717552735
"54",6,1432,54,-0.287901827382242,17.8497311682226
"55",7,1432,55,-0.292645637699686,4.99770058944186
"56",8,1432,56,-0.232868828761944,2.76682713579132
"57",9,1432,57,-0.0212752689890497,2.23294624620643
"58",10,1432,58,0.160650698227758,2.14615331626089
"59",11,1432,59,0.195687117028861,1.91521688914688
"60",12,1432,60,0.153313020426218,1.65604191321898
"61",1,1433,61,0.100791798012738,1.53624956968889
"62",2,1433,62,0.155593034038952,1.54784551787471
"63",3,1433,63,0.0325633659679036,1.79211475201842
"64",4,1433,64,0.0166616605014458,4.64975320858834
"65",5,1433,65,-0.0697286141319367,17.7885975069017
"66",6,1433,66,0.180662210643763,23.2179518385991
"67",7,1433,67,0.155763297046335,6.53484514331345
"68",8,1433,68,0.0439410884468638,3.05788601798049
"69",9,1433,69,0.0357721313733453,2.28014930108559
"70",10,1433,70,0.118144320889908,2.11640462591992
"71",11,1433,71,0.130826152016389,1.88527685039777
"72",12,1433,72,-0.17918778809769,1.53224053202709
"73",1,1434,73,0.0530133319268848,1.52207708126519
"74",2,1434,74,0.143280477587624,1.54452955210178
"75",3,1434,75,0.0737021307033045,1.81164349289572
"76",4,1434,76,0.053693487698571,4.72398214705281
"77",5,1434,77,0.109473535674134,18.8962485287283
"78",6,1434,78,0.0243242255083695,21.3206915751599
"79",7,1434,79,0.0343768397492392,6.09110797811396
"80",8,1434,80,-0.0161896886196889,2.9929950784738
"81",9,1434,81,0.0635906707373294,2.30340745242514
"82",10,1434,82,0.195488155089375,2.1707414162847
"83",11,1434,83,0.240672888998416,1.93616717620143
"84",12,1434,84,0.296217904453226,1.71123600268837
"85",1,1435,85,0.181165428268313,1.5602886009295
"86",2,1435,86,0.247472243667637,1.57273974917539
"87",3,1435,87,0.207872644810903,1.87631954088015
"88",4,1435,88,0.130792392484707,4.88105798758662
"89",5,1435,89,0.100650974788732,18.8406668899814
"90",6,1435,90,0.487176091790791,27.2573957331383
"91",7,1435,91,0.427574665682769,7.60554870540381
"92",8,1435,92,0.25767304938216,3.29612873224005
"93",9,1435,93,0.127455664447625,2.35740105473916
"94",10,1435,94,0.217009477596829,2.18602431113139
"95",11,1435,95,0.247143517438007,1.93919308121706
"96",12,1435,96,0.181500345212306,1.66683352283147
"97",1,1436,97,0.25757288253409,1.58337225978257
"98",2,1436,98,0.357325889498895,1.60285169724966
"99",3,1436,99,0.20386051758401,1.87436357593744
"100",4,1436,100,-0.0884824997340191,4.4432662536739
"101",5,1436,101,0.216686111904811,19.5804351409424
"102",6,1436,102,0.385598682750039,25.8710998282252
"103",7,1436,103,0.349421993049085,7.28662006795207
"104",8,1436,104,0.271861696553078,3.3123674534693
"105",9,1436,105,0.238014785450031,2.45285363949492
"106",10,1436,106,0.383414996249942,2.3066121221598
"107",11,1436,107,0.430876349310061,2.02642864662417
"108",12,1436,108,0.661868877893334,1.85798292262012
"109",1,1437,109,0.309630558748958,1.59922885822815
"110",2,1437,110,0.137657316016515,1.54301672070571
"111",3,1437,111,-0.101265950134006,1.72955911488417
"112",4,1437,112,-0.0917774348009421,4.43689703402929
"113",5,1437,113,-0.655206409478885,14.4753843763617
"114",6,1437,114,-0.992424410111948,11.4798019028532
"115",7,1437,115,-1.16140484764861,2.76181186373238
"116",8,1437,116,-1.14914566775271,1.93794231954562
"117",9,1437,117,-0.805924415599219,1.64898874562762
"118",10,1437,118,-0.450786221960975,1.74442591686658
"119",11,1437,119,-0.470734490607169,1.62236178867934
"120",12,1437,120,-0.463255116624184,1.43151568236496
"121",1,1438,121,-1.03985734353457,1.22136321414651
"122",2,1438,122,-0.921201549540914,1.275465047363
"123",3,1438,123,-0.589882988567203,1.51362180392127
"124",4,1438,124,-0.187410736338689,4.25470229613116
"125",5,1438,125,-0.903411563060064,13.2076046847672
"126",6,1438,126,-1.05872426958202,10.977843072217
