"","month","year","t","norm_est","flow_est"
"1",1,1428,1,NA,NA
"2",2,1428,2,NA,NA
"3",3,1428,3,NA,NA
"4",4,1428,4,NA,NA
"5",5,1428,5,NA,NA
"6",6,1428,6,NA,NA
"7",7,1428,7,NA,NA
"8",8,1428,8,NA,NA
"9",9,1428,9,NA,NA
"10",10,1428,10,NA,NA
"11",11,1428,11,NA,NA
"12",12,1428,12,NA,NA
"13",1,1429,13,NA,NA
"14",2,1429,14,NA,NA
"15",3,1429,15,NA,NA
"16",4,1429,16,NA,NA
"17",5,1429,17,0.163221594871356,19.2372211361786
"18",6,1429,18,0.24915229449972,24.0834630553164
"19",7,1429,19,0.214689387836842,6.757840210944
"20",8,1429,20,NA,NA
"21",9,1429,21,0.169690708422478,2.39356764819359
"22",10,1429,22,0.169690708422478,2.15251580204366
"23",11,1429,23,0.169690708422478,1.90317914903993
"24",12,1429,24,0.263565878715099,1.69851870998851
"25",1,1430,25,0.227288177554516,1.57419589243616
"26",2,1430,26,0.202064236032443,1.56040363922273
"27",3,1430,27,0.493720115775725,2.01918681129165
"28",4,1430,28,0.761697675359449,6.29835152420905
"29",5,1430,29,0.390386082990318,20.7235205896562
"30",6,1430,30,0.390566802844789,25.9377951782717
"31",7,1430,31,0.383155124761667,7.42317218365378
"32",8,1430,32,0.361597816481359,3.41629990578093
"33",9,1430,33,0.397056767579534,2.59461522678358
"34",10,1430,34,0.397056767579534,2.31668876100852
"35",11,1430,35,0.397056767579534,2.01017985142306
"36",12,1430,36,0.448864296114588,1.77152697644847
"37",1,1431,37,0.5076635885684,1.66051162485499
"38",2,1431,38,0.69804396843699,1.69867232820304
"39",3,1431,39,0.667389510234224,2.10940304416066
"40",4,1431,40,0.371540887229855,5.39385295136344
"41",5,1431,41,0.802191042692182,23.6076150672275
"42",6,1431,42,0.86618357565021,32.8582013985392
"43",7,1431,43,0.855286694169169,9.5140148413337
"44",8,1431,44,0.845143205365647,4.01350595649575
"45",9,1431,45,0.813478818773951,2.99114610200872
"46",10,1431,46,0.813478818773951,2.63841704957174
"47",11,1431,47,0.813478818773951,2.21633152694392
"48",12,1431,48,0.850061673301413,1.93664432091179
"49",1,1432,49,0.739496589326976,1.73420517814438
"50",2,1432,50,0.356365420405179,1.60258677808008
"51",3,1432,51,0.265409662755647,1.90451902239716
"52",4,1432,52,0.115789410398077,4.85022274906441
"53",5,1432,53,0.0380611544564725,18.4494839914099
"54",6,1432,54,-0.491515992022886,15.8068266560961
"55",7,1432,55,-0.36024113932657,4.78974325734013
"56",8,1432,56,-0.241285348645276,2.75828198022546
"57",9,1432,57,0.0450850566113097,2.28791796365377
"58",10,1432,58,0.0450850566113097,2.06591784122504
"59",11,1432,59,0.0450850566113097,1.84617923467986
"60",12,1432,60,-0.110708742710432,1.55721333022958
"61",1,1433,61,0.0295185604840049,1.51513993570855
"62",2,1433,62,-0.0282961587210178,1.49881271352321
"63",3,1433,63,-0.209871833638059,1.67988153396926
"64",4,1433,64,-0.288267068961813,4.06810167745981
"65",5,1433,65,-0.0766832311082859,17.7465100769099
"66",6,1433,66,-0.0265523025669813,20.7264873923201
"67",7,1433,67,-0.0319513554941843,5.85742292586299
"68",8,1433,68,-0.0161132859721064,2.99307693920426
"69",9,1433,69,-0.0709374765233623,2.19239066892779
"70",10,1433,70,-0.0709374765233623,1.98740637460793
"71",11,1433,71,-0.0709374765233623,1.79414023204131
"72",12,1433,72,-0.0914847733862424,1.56427254206882
"73",1,1434,73,-0.0356216285686924,1.49601682175675
"74",2,1434,74,-0.137942479431593,1.47007554202297
"75",3,1434,75,-0.082609600616926,1.73819058742517
"76",4,1434,76,-0.00972763080185334,4.59733635517736
"77",5,1434,77,0.133332329817851,19.0471049782261
"78",6,1434,78,-0.102836696591604,19.8566091427082
"79",7,1434,79,-0.0432482180046533,5.81823457678367
"80",8,1434,80,-0.031069825815122,2.97708049148756
"81",9,1434,81,0.140175023016317,2.36825426079985
"82",10,1434,82,0.140175023016317,2.13178858667301
"83",11,1434,83,0.140175023016318,1.88957296132345
"84",12,1434,84,0.0714959537197985,1.62498174232268
"85",1,1435,85,0.164384139327206,1.55524893117729
"86",2,1435,86,0.245866927781046,1.57230252687569
"87",3,1435,87,0.3729628847483,1.95798384247031
"88",4,1435,88,0.525878202231325,5.74065423674497
"89",5,1435,89,0.192985086454025,19.4277887136198
"90",6,1435,90,0.514858277517576,27.6434942077536
"91",7,1435,91,0.430758810506035,7.61873449674146
"92",8,1435,92,0.390765304017088,3.45054105832645
"93",9,1435,93,0.198918169577049,2.41881074819851
"94",10,1435,94,0.198918169577049,2.17317238993264
"95",11,1435,95,0.198918169577049,1.91671657043851
"96",12,1435,96,0.323740383141384,1.722004415727
"97",1,1436,97,0.300591839265708,1.59646816086206
"98",2,1436,98,0.651533128680298,1.68537452764056
"99",3,1436,99,0.305556717778167,1.92436133753086
"100",4,1436,100,-0.541354383649484,3.62446336310059
"101",5,1436,101,0.638166208846251,22.4292059005815
"102",6,1436,102,0.616607036832756,29.0934659355872
"103",7,1436,103,0.632325908077876,8.4843673003555
"104",8,1436,104,0.631924720600621,3.74236883035471
"105",9,1436,105,0.653127420303563,2.83406127170495
"106",10,1436,106,0.653127420303563,2.51126739673402
"107",11,1436,107,0.653127420303563,2.13537553680063
"108",12,1436,108,0.635324373613226,1.84706017429254
"109",1,1437,109,0.28875077574022,1.59285633522273
"110",2,1437,110,-0.11148591804404,1.47697552677388
"111",3,1437,111,-0.52927985540626,1.5393561922924
"112",4,1437,112,-0.886462433958863,3.07456746788789
"113",5,1437,113,-1.6260066165013,9.95560673838825
"114",6,1437,114,-1.63791734298317,7.23724013513582
"115",7,1437,115,-1.64883231385295,1.88329965314806
"116",8,1437,116,-1.52971129304042,1.65097680952818
"117",9,1437,117,-1.62385181299086,1.16215150706733
"118",10,1437,118,-1.62385181299086,1.12292124085233
"119",11,1437,119,-1.62385181299086,1.18994039464202
"120",12,1437,120,-1.63853410077159,1.06230084114846
"121",1,1438,121,-1.80376772266107,1.03696107911355
"122",2,1438,122,-1.95307301808339,1.04678662090514
"123",3,1438,123,-1.8532540102257,1.04173348106723
"124",4,1438,124,-1.28205507110529,2.51877180304715
"125",5,1438,125,-1.90375832252307,8.87090735720433
"126",6,1438,126,-1.75476208139012,6.61372557559148
