"","month","year","t","norm_est","flow_est"
"1",1,1428,1,NA,NA
"2",2,1428,2,NA,NA
"3",3,1428,3,NA,NA
"4",4,1428,4,0.162189594650151,4.94601045972826
"5",5,1428,5,NA,NA
"6",6,1428,6,NA,NA
"7",7,1428,7,NA,NA
"8",8,1428,8,NA,NA
"9",9,1428,9,NA,NA
"10",10,1428,10,NA,NA
"11",11,1428,11,NA,NA
"12",12,1428,12,NA,NA
"13",1,1429,13,NA,NA
"14",2,1429,14,NA,NA
"15",3,1429,15,NA,NA
"16",4,1429,16,-0.0524906520066624,4.51324044707092
"17",5,1429,17,0.0102117122672244,18.2771850782798
"18",6,1429,18,NA,NA
"19",7,1429,19,NA,NA
"20",8,1429,20,NA,NA
"21",9,1429,21,NA,NA
"22",10,1429,22,-0.178241114563811,1.91659803478837
"23",11,1429,23,-0.194925260448968,1.73962313409989
"24",12,1429,24,-0.0427467788956214,1.58226541229682
"25",1,1430,25,0.272634699519284,1.58794924979019
"26",2,1430,26,0.279242994322768,1.58140943704513
"27",3,1430,27,0.255664396951801,1.89972309436752
"28",4,1430,28,0.0673025813076653,4.75145908359347
"29",5,1430,29,-0.0488001350241915,17.9156543538646
"30",6,1430,30,0.795105040746321,31.7555974807861
"31",7,1430,31,0.698617254698147,8.78250842600185
"32",8,1430,32,0.487332901666123,3.56552415892745
"33",9,1430,33,0.49624567121247,2.68571367489565
"34",10,1430,34,0.00282584606350746,2.03708562755657
"35",11,1430,35,0.000696239544151949,1.8261523121429
"36",12,1430,36,0.017508438641519,1.60470067843481
"37",1,1431,37,0.10269809239893,1.53681684944907
"38",2,1431,38,0.267157666792811,1.57810782669782
"39",3,1431,39,0.130769837312974,1.83896801109213
"40",4,1431,40,0.0250916982282018,4.66658174085351
"41",5,1431,41,0.131247403118265,19.0338903270212
"42",6,1431,42,0.413875774183475,26.2522273327603
"43",7,1431,43,0.41932911926889,7.57147326046486
"44",8,1431,44,0.25267341744862,3.29041933987075
"45",9,1431,45,0.263303667208568,2.47504232832333
"46",10,1431,46,0.0723579628782418,2.08466934668374
"47",11,1431,47,0.223413856651046,1.92811156673863
"48",12,1431,48,0.411035738516172,1.75645669177399
"49",1,1432,49,0.504290106005068,1.65945486485596
"50",2,1432,50,0.443156552148782,1.62664324933426
"51",3,1432,51,0.143487310235384,1.84509443218461
"52",4,1432,52,0.0570025837728798,4.73065344809561
"53",5,1432,53,-0.165508345088967,17.21482673705
"54",6,1432,54,-0.167068846208776,19.1435857856733
"55",7,1432,55,-0.361355313637534,4.78636613288423
"56",8,1432,56,-0.433577817443521,2.56787313320767
"57",9,1432,57,-0.166460987296188,2.11577905437876
"58",10,1432,58,-0.140162088548404,1.94152862560456
"59",11,1432,59,0.0179045799969416,1.83389890145536
"60",12,1432,60,-0.089677802692299,1.56493717633851
"61",1,1433,61,0.245444647091793,1.57969310685806
"62",2,1433,62,0.205759709603275,1.56140518358352
"63",3,1433,63,-0.0510869328368305,1.75284016120577
"64",4,1433,64,-0.289381154138967,4.06607197733337
"65",5,1433,65,0.0626045630228046,18.6022259943491
"66",6,1433,66,0.45332986421105,26.7901680571107
"67",7,1433,67,0.196652391420093,6.68905177996106
"68",8,1433,68,0.189923001471013,3.21931872443032
"69",9,1433,69,0.149312690602745,2.37607179471837
"70",10,1433,70,-0.340223597831561,1.81295320375934
"71",11,1433,71,-0.474709658104592,1.62071183275333
"72",12,1433,72,-0.166802995791528,1.53673697518788
"73",1,1434,73,0.365738900128054,1.61643696983561
"74",2,1434,74,0.351236633841207,1.60117263437683
"75",3,1434,75,0.0630502233826027,1.80657343578398
"76",4,1434,76,-0.325888427976258,3.99994024698781
"77",5,1434,77,-0.323678241820365,16.2947790313766
"78",6,1434,78,0.554921295306787,28.2086129262804
"79",7,1434,79,0.18969621571113,6.66264803176937
"80",8,1434,80,-0.0167028618320832,2.99244528383606
"81",9,1434,81,-0.0461156224595933,2.21259861902836
"82",10,1434,82,-0.265151544857402,1.86050557854095
"83",11,1434,83,-0.374974531737863,1.66245145206281
"84",12,1434,84,-0.214004686020739,1.51964710629784
"85",1,1435,85,-0.0988727248841952,1.47760317954131
"86",2,1435,86,-0.0123869591379085,1.50301326061821
"87",3,1435,87,-0.0106396289445678,1.77175793714637
"88",4,1435,88,-0.101046267703169,4.4190130137132
"89",5,1435,89,-0.245189761060925,16.7470783621005
"90",6,1435,90,0.301385223128613,24.7577685382973
"91",7,1435,91,0.165034048879599,6.56959785925895
"92",8,1435,92,0.0134174761571667,3.02482969644177
"93",9,1435,93,0.0667638838185921,2.30607049856979
"94",10,1435,94,0.17094480928659,2.15339944645194
"95",11,1435,95,0.307327175576026,1.96748780329792
"96",12,1435,96,0.369966122748537,1.74019165177693
"97",1,1436,97,0.400009448318659,1.62700775165428
"98",2,1436,98,0.646772940919869,1.68401744831255
"99",3,1436,99,0.158003490620463,1.85210394280022
"100",4,1436,100,-0.233737820758341,4.16828677938529
"101",5,1436,101,0.0575078086749112,18.5704379331025
"102",6,1436,102,0.317182191100702,24.9641414071854
"103",7,1436,103,0.0595989758620847,6.18159061859331
"104",8,1436,104,-0.074300864572885,2.93116593267301
"105",9,1436,105,-0.273964645688054,2.03173766423458
"106",10,1436,106,-0.0754052435276892,1.98442369951992
"107",11,1436,107,0.296166333446618,1.96222008363828
"108",12,1436,108,0.0589727277037462,1.62026209866254
"109",1,1437,109,0.0959838532727901,1.53481942948053
"110",2,1437,110,-0.15673496982265,1.46518749382068
"111",3,1437,111,-0.408668280081175,1.5914491766599
"112",4,1437,112,-0.4849963471022,3.72024474416821
"113",5,1437,113,-0.638465574250413,14.5637702792274
"114",6,1437,114,-0.133585601473936,19.5130704955723
"115",7,1437,115,-0.68859071904528,3.86382210623547
"116",8,1437,116,-0.683816699511611,2.33371348440109
"117",9,1437,117,-0.698354506700539,1.72202631098541
"118",10,1437,118,-0.662893353311168,1.61791899222852
"119",11,1437,119,-0.56306657906382,1.58432963185714
"120",12,1437,120,-0.535175324465948,1.40674098121137
"121",1,1438,121,-0.706447358070584,1.30840457568835
"122",2,1438,122,-0.671987761212528,1.33537447942611
"123",3,1438,123,-0.43784299390437,1.578741004216
"124",4,1438,124,-0.221186307944997,4.19158128330604
"125",5,1438,125,-0.71333482298553,14.1713279439737
"126",6,1438,126,-0.00190413680427389,21.0129503376602
