"Component","Standard.deviation","Proportion.of.Variance","Cumulative.Proportion","EigenVal"
1,2.6038694358382,0.35685,0.35685,6.78013603889233
2,1.41317364186903,0.10511,0.46196,1.99705974207338
3,1.21134390344034,0.07723,0.53919,1.46735405240207
4,1.13628643340773,0.06796,0.60714,1.29114685874647
5,1.02169148664168,0.05494,0.66208,1.04385349387609
6,0.964458989278001,0.04896,0.71104,0.930181141999143
7,0.91057300432434,0.04364,0.75468,0.829143196204255
8,0.848936140195698,0.03793,0.79261,0.72069257013037
9,0.821421604004334,0.03551,0.82812,0.674733451525052
10,0.790515582066604,0.03289,0.86101,0.624914885490102
11,0.680451100180577,0.02437,0.88538,0.463013699736957
12,0.635053146164612,0.02123,0.90661,0.403292498453572
13,0.612655875708544,0.01976,0.92636,0.375347222040203
14,0.568043782159065,0.01698,0.94334,0.322673738449575
15,0.547325393848414,0.01577,0.95911,0.299565086751322
16,0.518904313603005,0.01417,0.97328,0.269261686675806
17,0.499165474765856,0.01311,0.9864,0.249166171198222
18,0.38490392820519,0.0078,0.99419,0.148151033947786
19,0.332134658545704,0.00581,1,0.110313431407271
NA,NA,NA,NA,NA
