"","date","base_date","month","year","data","res_1","res_2","res_3","res_4","res_5","res_6","res_7","res_8","res_9","res_10","total_res","current_res","upper_weber","upper_ogden","lower","trigger_deficit","moderate","severe","extreme","trigger_category"
"1",1430-06-01,1430-06-01,"6",1430,"paleo",7600.000002,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.050602,528965.050602,209670.000002,117020,202275.0506,0,0,0,0,"None"
"2",1431-06-01,1431-06-01,"6",1431,"paleo",7600,60000,73940,20020,48110,6870,99414.70209,202275.0506,NA,NA,518229.75269,518229.75269,209670,106284.70209,202275.0506,0,0,0,0,"None"
"3",1432-06-01,1432-06-01,"6",1432,"paleo",7600,60000,73940,20020,48110,6870,76178.23455,202275.0506,NA,NA,494993.28515,494993.28515,209670,83048.23455,202275.0506,0,0,0,0,"None"
"4",1433-06-01,1433-06-01,"6",1433,"paleo",7600.000001,60000,73940,20020,47710.02393,6870,78604.2746,202275.0506,NA,NA,497019.349131,497019.349131,209270.023931,85474.2746,202275.0506,0,0,0,0,"None"
"5",1434-06-01,1434-06-01,"6",1434,"paleo",7600,60000,73940,20020,48110,6870,63619.80414,202275.0506,NA,NA,482434.85474,482434.85474,209670,70489.80414,202275.0506,0,0,0,0,"None"
"6",1435-06-01,1435-06-01,"6",1435,"paleo",7600,60000,73940,20020,48110,6870,67812.10567,202275.0506,NA,NA,486627.15627,486627.15627,209670,74682.10567,202275.0506,0,0,0,0,"None"
"7",1436-06-01,1436-06-01,"6",1436,"paleo",7600,60000,73940,20020,48110,6870,79832.69958,202275.0506,NA,NA,498647.75018,498647.75018,209670,86702.69958,202275.0506,0,0,0,0,"None"
"8",1437-06-01,1437-06-01,"6",1437,"paleo",7600,60000,73940,19917.37212,44779.46693,6870,50162.54677,202273.6665,NA,NA,465543.05232,465543.05232,206236.83905,57032.54677,202273.6665,0,0,0,0,"None"
"9",1438-06-01,1438-06-01,"6",1438,"paleo",7600.000002,60000,73940,19515.03545,33809.67911,6870,51890.78884,190709.3064,NA,NA,444334.809802,444334.809802,194864.714562,58760.78884,190709.3064,0,0,0,0,"None"
"10",1439-06-01,1439-06-01,"6",1439,"paleo",7600.000002,60000,73940,20020,28944.53055,6870,58105.23747,188754.9541,NA,NA,444234.722122,444234.722122,190504.530552,64975.23747,188754.9541,0,0,0,0,"None"
"11",1440-06-01,1440-06-01,"6",1440,"paleo",7600.000002,60000,73940,20020,38641.38899,6870,110150,202275.0506,NA,NA,519496.439592,519496.439592,200201.388992,117020,202275.0506,0,0,0,0,"None"
"12",1441-06-01,1441-06-01,"6",1441,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"13",1442-06-01,1442-06-01,"6",1442,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"14",1443-06-01,1443-06-01,"6",1443,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"15",1444-06-01,1444-06-01,"6",1444,"paleo",7600,60000,73940,20020,48110,6870,81324.56825,202275.0506,NA,NA,500139.61885,500139.61885,209670,88194.56825,202275.0506,0,0,0,0,"None"
"16",1445-06-01,1445-06-01,"6",1445,"paleo",7600,60000,73940,20020,43265.77424,6870,63367.8438,202274.9477,NA,NA,477338.56574,477338.56574,204825.77424,70237.8438,202274.9477,0,0,0,0,"None"
"17",1446-06-01,1446-06-01,"6",1446,"paleo",7600,60000,73940,20020,48110,6870,94526.48179,202275.0506,NA,NA,513341.53239,513341.53239,209670,101396.48179,202275.0506,0,0,0,0,"None"
"18",1447-06-01,1447-06-01,"6",1447,"paleo",7600,60000,73940,20020,48110,6870,99099.48522,202275.0506,NA,NA,517914.53582,517914.53582,209670,105969.48522,202275.0506,0,0,0,0,"None"
"19",1448-06-01,1448-06-01,"6",1448,"paleo",7600,60000,73940,20020,48110,6870,97694.45048,202275.0506,NA,NA,516509.50108,516509.50108,209670,104564.45048,202275.0506,0,0,0,0,"None"
"20",1449-06-01,1449-06-01,"6",1449,"paleo",7600.000001,60000,73940,20020,48110,6870,96426.75597,202275.0506,NA,NA,515241.806571,515241.806571,209670.000001,103296.75597,202275.0506,0,0,0,0,"None"
"21",1450-06-01,1450-06-01,"6",1450,"paleo",7600,60000,73940,20020,48110,6870,83463.17349,202275.0506,NA,NA,502278.22409,502278.22409,209670,90333.17349,202275.0506,0,0,0,0,"None"
"22",1451-06-01,1451-06-01,"6",1451,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"23",1452-06-01,1452-06-01,"6",1452,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"24",1453-06-01,1453-06-01,"6",1453,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"25",1454-06-01,1454-06-01,"6",1454,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"26",1455-06-01,1455-06-01,"6",1455,"paleo",7600,60000,73940,20020,48110,6870,110150,202275.0506,NA,NA,528965.0506,528965.0506,209670,117020,202275.0506,0,0,0,0,"None"
"27",1456-06-01,1456-06-01,"6",1456,"paleo",7600,60000,73940,18399.71746,47922.68741,6870,55778.81119,194432.9488,NA,NA,464944.16486,464944.16486,207862.40487,62648.81119,194432.9488,0,0,0,0,"None"
"28",1457-06-01,1457-06-01,"6",1457,"paleo",7600.000003,60000,73940,20020,44345.88045,6870,81177.55438,202275.0506,NA,NA,496228.485433,496228.485433,205905.880453,88047.55438,202275.0506,0,0,0,0,"None"
"29",1458-06-01,1458-06-01,"6",1458,"paleo",7600,60000,73940,20020,48110,6870,62169.7921,202275.0506,NA,NA,480984.8427,480984.8427,209670,69039.7921,202275.0506,0,0,0,0,"None"
"30",1459-06-01,1459-06-01,"6",1459,"paleo",7600,60000,73940,19498.99094,45310.22475,6870,51557.36669,202273.3175,NA,NA,467049.89988,467049.89988,206349.21569,58427.36669,202273.3175,0,0,0,0,"None"
"31",1460-06-01,1460-06-01,"6",1460,"paleo",7600.000003,60000,73940,20020,38393.07389,6870,53967.26608,161215.0353,NA,NA,422005.375273,422005.375273,199953.073893,60837.26608,161215.0353,0,0,0,0,"None"
